H_TEAM,A_TEAM,GENDER,NUM_F,NUM_M,HALF,SET_NUM,SET_TIME,HOME_RESULT,FINISH,H_HITS,A_HITS,H_THROW,A_THROW,H_CATCH,A_CATCH,H_OUTS,A_OUTS,H_BLOCK,A_BLOCK,ACCURACY,H_BLOCK_PCT,A_BLOCK_PCT,H_CATCH_PCT,A_CATCH_PCT,PACE
Canada,Germany,Mix,3,3,1,6,2:23,W,eliminated,5,3,16,13,0,0,3,6,1,3,27.59%,7.69%,18.75%,0.00%,0.00%,12.17
Czechia,Northern Ireland,Mix,3,3,2,5,3:00,T,timed out,4,4,16,19,0,0,4,4,2,2,22.86%,10.53%,12.50%,0.00%,0.00%,11.67
France,Puerto Rico,M,0,6,2,2,2:24,L,eliminated,1,1,7,12,0,0,7,1,0,2,10.53%,0.00%,28.57%,0.00%,0.00%,7.92
Argentina,Switzerland,M,0,6,1,2,2:24,W,eliminated,6,4,11,13,0,1,5,6,0,1,41.67%,0.00%,9.09%,0.00%,9.09%,10
Belgium,Netherlands,Mix,3,3,2,5,2:24,L,eliminated,0,4,13,14,0,2,6,0,0,1,14.81%,0.00%,7.69%,0.00%,15.38%,11.25
Czechia,Wales,Mix,3,3,1,5,2:24,W,eliminated,6,2,14,13,0,0,2,6,3,3,29.63%,23.08%,21.43%,0.00%,0.00%,11.25
Germany,Serbia,Mix,3,3,1,2,2:24,W,eliminated,3,4,13,9,2,0,4,5,1,1,31.82%,11.11%,7.69%,22.22%,0.00%,9.17
Austria,Netherlands,F,6,0,1,3,2:25,W,eliminated,5,5,12,16,1,0,5,6,1,2,35.71%,6.25%,16.67%,6.25%,0.00%,11.59
Austria,United States,Mix,3,3,1,5,3:00,W,timed out,4,3,13,20,0,1,4,6,5,0,21.21%,25.00%,0.00%,0.00%,7.69%,11
Northern Ireland,United States,Mix,3,3,1,3,3:00,L,timed out,3,2,13,16,0,1,2,3,2,0,17.24%,12.50%,0.00%,0.00%,7.69%,9.67
Austria,England,Mix,3,3,2,2,2:26,W,eliminated,6,2,15,10,0,0,2,6,1,1,32.00%,10.00%,6.67%,0.00%,0.00%,10.27
England,Northern Ireland,Mix,3,3,1,2,3:00,T,timed out,2,2,15,16,0,1,2,1,4,1,12.90%,25.00%,6.67%,0.00%,6.67%,10.33
Netherlands,Switzerland,F,6,0,1,6,2:26,W,eliminated,6,4,8,14,0,0,4,6,3,0,45.45%,21.43%,0.00%,0.00%,0.00%,9.04
Czechia,Spain,Mix,3,3,1,1,3:00,W,timed out,4,7,15,16,2,2,6,6,4,1,35.48%,25.00%,6.67%,12.50%,13.33%,10.33
Denmark,United States,M,0,6,2,3,2:27,L,eliminated,4,6,15,14,1,2,6,6,3,2,34.48%,21.43%,13.33%,7.14%,13.33%,11.84
Austria,United States,Mix,3,3,1,1,2:27,W,eliminated,4,1,19,11,0,0,1,6,6,1,16.67%,54.55%,5.26%,0.00%,0.00%,12.24
Australia,Sweden,Mix,3,3,1,6,3:00,W,timed out,5,3,14,12,0,0,3,5,1,2,30.77%,8.33%,14.29%,0.00%,0.00%,8.67
Belgium,Netherlands,Mix,3,3,1,7,2:27,L,eliminated,3,6,13,13,0,0,6,3,1,2,34.62%,7.69%,15.38%,0.00%,0.00%,10.61
Mexico,Netherlands,F,6,0,1,5,2:29,L,eliminated,2,7,7,13,1,0,7,3,0,2,45.00%,0.00%,28.57%,7.69%,0.00%,8.05
Canada,England,M,0,6,2,6,2:30,W,eliminated,0,5,14,10,4,4,6,2,0,1,20.83%,0.00%,7.14%,40.00%,28.57%,9.6
Belgium,France,M,0,6,1,3,2:31,W,eliminated,5,3,13,10,1,0,3,6,0,1,34.78%,0.00%,7.69%,10.00%,0.00%,9.14
Argentina,Switzerland,M,0,6,2,3,2:33,L,eliminated,4,3,9,13,3,3,2,6,3,0,31.82%,23.08%,0.00%,23.08%,33.33%,8.63
Argentina,Sweden,Mix,3,3,1,4,2:33,W,eliminated,2,3,18,13,0,0,3,6,2,2,16.13%,15.38%,11.11%,0.00%,0.00%,12.16
Belgium,Wales,F,6,0,1,3,2:33,L,eliminated,2,6,17,15,1,1,7,3,1,3,25.00%,6.67%,17.65%,6.67%,5.88%,12.55
Scotland,United States,F,6,0,2,5,2:34,L,eliminated,1,5,12,14,2,1,6,3,2,0,23.08%,14.29%,0.00%,14.29%,8.33%,10.13
France,Puerto Rico,M,0,6,2,3,2:34,W,eliminated,2,0,8,17,0,5,2,0,1,1,8.00%,5.88%,12.50%,0.00%,62.50%,9.74
Germany,Netherlands,M,0,6,1,4,2:35,L,eliminated,5,6,15,15,0,0,6,5,1,0,36.67%,6.67%,0.00%,0.00%,0.00%,11.61
Australia,Belgium,Mix,3,3,1,1,2:35,W,eliminated,6,3,13,13,0,0,3,6,2,2,34.62%,15.38%,15.38%,0.00%,0.00%,10.06
France,Spain,Mix,3,3,1,6,2:35,L,eliminated,3,2,9,19,0,0,6,3,1,2,17.86%,5.26%,22.22%,0.00%,0.00%,10.84
Belgium,Netherlands,Mix,3,3,1,6,3:00,W,timed out,4,1,17,12,0,1,2,5,1,0,17.24%,8.33%,0.00%,0.00%,5.88%,9.67
France,Ireland,M,0,6,2,1,2:37,W,eliminated,0,3,12,9,3,3,0,4,3,0,14.29%,33.33%,0.00%,33.33%,25.00%,8.03
Croatia,Czechia,Mix,3,3,1,1,3:00,L,timed out,3,5,9,15,0,0,5,3,1,2,33.33%,6.67%,22.22%,0.00%,0.00%,8
Sweden,Switzerland,Mix,3,3,2,1,2:37,L,eliminated,1,4,13,14,0,2,6,1,6,2,18.52%,42.86%,15.38%,0.00%,15.38%,10.32
Austria,Wales,Mix,3,3,1,2,3:00,W,timed out,4,2,15,17,0,0,2,4,5,1,18.75%,29.41%,6.67%,0.00%,0.00%,10.67
Austria,Wales,Mix,3,3,1,4,3:00,W,timed out,3,2,11,12,1,0,2,4,4,1,21.74%,33.33%,9.09%,8.33%,0.00%,7.67
Italy,Wales,F,6,0,1,8,2:38,L,eliminated,2,6,16,14,0,0,6,2,2,5,26.67%,14.29%,31.25%,0.00%,0.00%,11.39
France,Mexico,Mix,3,3,1,6,3:00,W,timed out,6,2,14,11,0,2,4,7,1,0,32.00%,9.09%,0.00%,0.00%,14.29%,8.33
Argentina,Sweden,Mix,3,3,1,3,3:00,L,timed out,2,4,12,10,1,0,4,3,2,0,27.27%,20.00%,0.00%,10.00%,0.00%,7.33
Argentina,Northern Ireland,F,6,0,1,2,2:38,L,eliminated,1,6,13,19,0,0,6,1,1,7,21.88%,5.26%,53.85%,0.00%,0.00%,12.15
Austria,United States,Mix,3,3,2,1,2:39,W,eliminated,6,2,13,16,0,0,2,6,3,0,27.59%,18.75%,0.00%,0.00%,0.00%,10.94
Argentina,Northern Ireland,F,6,0,2,4,2:40,L,eliminated,3,6,10,12,0,0,6,3,1,1,40.91%,8.33%,10.00%,0.00%,0.00%,8.25
Belgium,United States,Mix,3,3,1,1,3:00,L,timed out,2,4,20,13,0,0,4,2,1,1,18.18%,7.69%,5.00%,0.00%,0.00%,11
Argentina,Portugal,M,0,6,2,2,2:41,W,eliminated,5,0,14,15,0,0,4,3,0,1,17.24%,0.00%,7.14%,0.00%,0.00%,10.81
Austria,Croatia,Mix,3,3,2,4,2:41,W,eliminated,6,3,14,16,1,0,4,7,4,0,30.00%,25.00%,0.00%,6.25%,0.00%,11.18
Austria,Germany,M,0,6,2,1,2:42,W,eliminated,0,5,15,9,2,2,0,2,3,2,20.83%,33.33%,13.33%,22.22%,13.33%,8.89
Germany,Serbia,Mix,3,3,1,3,2:42,W,eliminated,6,3,17,13,0,0,3,6,1,1,30.00%,7.69%,5.88%,0.00%,0.00%,11.11
Sweden,Switzerland,Mix,3,3,1,3,3:00,W,timed out,2,1,10,16,0,1,2,2,2,1,11.54%,12.50%,10.00%,0.00%,10.00%,8.67
France,Mexico,Mix,3,3,1,1,2:42,W,eliminated,6,3,13,17,0,0,3,6,5,3,30.00%,29.41%,23.08%,0.00%,0.00%,11.11
England,Ireland,Mix,3,3,1,1,2:42,W,eliminated,4,2,12,15,0,0,2,6,1,0,22.22%,6.67%,0.00%,0.00%,0.00%,10
Netherlands,Wales,M,0,6,2,1,2:43,L,eliminated,0,5,14,12,0,0,2,6,1,2,19.23%,8.33%,14.29%,0.00%,0.00%,9.57
Netherlands,Wales,M,0,6,1,7,2:43,W,eliminated,6,3,12,9,0,0,3,6,1,1,42.86%,11.11%,8.33%,0.00%,0.00%,7.73
Northern Ireland,Sweden,Mix,3,3,1,2,3:00,W,timed out,3,3,20,14,1,1,4,4,2,2,17.65%,14.29%,10.00%,7.14%,5.00%,11.33
