H_TEAM,A_TEAM,GENDER,NUM_F,NUM_M,HALF,SET_NUM,SET_TIME,HOME_RESULT,FINISH,H_HITS,A_HITS,H_THROW,A_THROW,H_CATCH,A_CATCH,H_OUTS,A_OUTS,H_BLOCK,A_BLOCK,ACCURACY,H_BLOCK_PCT,A_BLOCK_PCT,H_CATCH_PCT,A_CATCH_PCT,PACE
Australia,Mexico,Mix,3,3,2,8,1:14,L,eliminated,5,5,10,13,0,1,6,5,2,1,43.48%,15.38%,10.00%,0.00%,10.00%,18.65
Chile,Czechia,Mix,3,3,1,3,1:14,L,eliminated,1,3,8,18,1,0,6,2,1,1,15.38%,5.56%,12.50%,5.56%,0.00%,21.08
Hungary,Ukraine,F,6,0,2,5,1:15,W,eliminated,5,0,8,7,0,0,0,6,2,0,33.33%,28.57%,0.00%,0.00%,0.00%,12
Austria,Mexico,F,6,0,1,8,1:15,W,eliminated,5,0,8,6,1,0,0,6,0,0,35.71%,0.00%,0.00%,16.67%,0.00%,11.2
Hungary,Mexico,F,6,0,2,1,1:19,W,eliminated,5,2,10,8,1,0,2,6,0,0,38.89%,0.00%,0.00%,12.50%,0.00%,13.67
Argentina,Switzerland,F,6,0,2,2,3:00,W,timed out,3,3,18,15,0,0,3,4,3,3,18.18%,20.00%,16.67%,0.00%,0.00%,11
Czechia,Sweden,F,6,0,2,6,1:20,W,eliminated,6,3,6,9,0,0,3,6,1,0,60.00%,11.11%,0.00%,0.00%,0.00%,11.25
Italy,Wales,F,6,0,2,4,3:00,L,timed out,0,4,18,18,0,1,5,0,0,4,11.11%,0.00%,22.22%,0.00%,5.56%,12
Canada,England,M,0,6,1,4,1:20,W,eliminated,6,0,9,7,0,0,0,6,0,0,37.50%,0.00%,0.00%,0.00%,0.00%,12
England,Netherlands,F,6,0,2,2,3:00,L,timed out,4,3,18,15,0,1,5,4,0,3,21.21%,0.00%,16.67%,0.00%,5.56%,11
Canada,Germany,Mix,3,3,2,10,1:20,W,eliminated,5,2,15,9,1,0,2,6,1,0,29.17%,11.11%,0.00%,11.11%,0.00%,18
Czechia,Spain,F,6,0,2,5,3:00,W,timed out,4,3,20,19,0,0,3,5,5,1,17.95%,26.32%,5.00%,0.00%,0.00%,13
Czechia,Spain,F,6,0,2,6,3:00,W,timed out,4,2,18,15,0,0,2,5,2,0,18.18%,13.33%,0.00%,0.00%,0.00%,11
Austria,Mexico,F,6,0,2,7,1:21,W,eliminated,5,1,11,8,0,0,1,6,0,2,31.58%,0.00%,18.18%,0.00%,0.00%,14.07
Germany,Northern Ireland,F,6,0,2,7,3:00,L,timed out,1,3,10,12,0,1,4,1,0,1,18.18%,0.00%,10.00%,0.00%,10.00%,7.33
Scotland,United States,F,6,0,2,3,1:22,L,eliminated,0,6,7,10,0,0,6,0,1,2,35.29%,10.00%,28.57%,0.00%,0.00%,12.44
Australia,Sweden,F,6,0,2,6,3:00,W,timed out,3,3,16,16,2,1,4,5,3,2,18.75%,18.75%,12.50%,12.50%,6.25%,10.67
England,Netherlands,F,6,0,1,8,1:22,L,eliminated,1,5,7,12,0,1,6,1,2,1,31.58%,16.67%,14.29%,0.00%,14.29%,13.9
Belgium,Scotland,F,6,0,2,5,3:00,L,timed out,2,3,17,18,0,0,3,2,3,2,14.29%,16.67%,11.76%,0.00%,0.00%,11.67
Puerto Rico,United States,Mix,3,3,1,4,1:23,L,eliminated,0,3,6,8,1,0,4,0,0,2,21.43%,0.00%,33.33%,12.50%,0.00%,10.12
Belgium,Wales,F,6,0,2,6,3:00,W,timed out,2,2,16,15,1,0,2,3,4,0,12.90%,26.67%,0.00%,6.67%,0.00%,10.33
Spain,United States,Mix,3,3,2,1,1:24,W,eliminated,6,0,9,7,1,1,1,7,1,0,37.50%,14.29%,0.00%,14.29%,11.11%,11.43
Hungary,Mexico,F,6,0,1,4,1:26,W,eliminated,6,1,9,6,0,0,1,6,0,0,46.67%,0.00%,0.00%,0.00%,0.00%,10.47
England,Netherlands,F,6,0,2,4,1:27,W,eliminated,6,1,10,9,0,0,1,6,3,1,36.84%,33.33%,10.00%,0.00%,0.00%,13.1
Belgium,Italy,F,6,0,2,7,3:00,L,timed out,3,4,17,19,1,2,6,4,0,0,19.44%,0.00%,0.00%,5.26%,11.76%,12
Austria,Netherlands,F,6,0,2,3,3:00,L,timed out,4,5,18,18,0,0,5,4,2,1,25.00%,11.11%,5.56%,0.00%,0.00%,12
England,United States,M,0,6,1,3,1:27,L,eliminated,1,6,8,6,0,0,1,6,2,0,50.00%,33.33%,0.00%,0.00%,0.00%,9.66
England,Northern Ireland,M,0,6,1,3,1:28,L,eliminated,2,5,9,9,0,1,6,2,1,0,38.89%,11.11%,0.00%,0.00%,11.11%,12.27
Mexico,Netherlands,F,6,0,2,3,1:29,L,eliminated,0,5,7,13,0,1,6,0,0,2,25.00%,0.00%,28.57%,0.00%,14.29%,13.48
Puerto Rico,United States,Mix,3,3,1,5,1:29,L,eliminated,2,5,10,9,0,0,5,1,0,1,36.84%,0.00%,10.00%,0.00%,0.00%,12.81
Hungary,Wales,F,6,0,2,7,1:30,W,timed out,3,2,8,8,1,0,2,4,0,2,31.25%,0.00%,25.00%,12.50%,0.00%,10.67
Argentina,Switzerland,F,6,0,2,7,1:30,W,timed out,1,0,9,7,1,0,0,2,2,4,6.25%,28.57%,44.44%,14.29%,0.00%,10.67
Argentina,Northern Ireland,F,6,0,2,7,1:30,W,timed out,2,1,8,7,0,1,2,3,2,2,20.00%,28.57%,25.00%,0.00%,12.50%,10
Northern Ireland,Switzerland,F,6,0,2,4,3:00,L,timed out,3,5,20,19,1,1,4,6,2,1,20.51%,10.53%,5.00%,5.26%,5.00%,13
Northern Ireland,Switzerland,F,6,0,2,7,1:30,W,timed out,2,2,9,8,1,0,2,3,0,0,23.53%,0.00%,0.00%,12.50%,0.00%,11.33
France,Puerto Rico,M,0,6,1,2,1:30,L,eliminated,1,5,6,11,0,0,6,2,0,0,35.29%,0.00%,0.00%,0.00%,0.00%,11.33
Czechia,Spain,Mix,3,3,2,9,1:30,L,timed out,2,3,8,9,0,0,3,2,0,1,29.41%,0.00%,12.50%,0.00%,0.00%,11.33
England,Northern Ireland,M,0,6,2,4,3:00,W,timed out,5,5,16,14,1,3,4,2,0,1,33.33%,0.00%,6.25%,7.14%,18.75%,10
Czechia,Wales,Mix,3,3,2,7,1:30,L,timed out,3,4,8,10,0,0,4,3,1,1,38.89%,10.00%,12.50%,0.00%,0.00%,12
Wales,Italy,M,0,6,2,6,3:00,W,timed out,6,2,9,9,3,0,2,6,2,2,44.44%,22.22%,22.22%,33.33%,0.00%,6
Scotland,Sweden,Mix,3,3,2,8,1:30,T,timed out,4,2,8,7,0,1,3,4,1,0,40.00%,14.29%,0.00%,0.00%,12.50%,10
England,United States,M,0,6,2,5,3:00,W,timed out,0,4,12,13,4,1,5,0,0,1,16.00%,0.00%,8.33%,30.77%,8.33%,8.33
Czechia,Northern Ireland,Mix,3,3,2,7,1:30,L,timed out,2,2,7,10,1,1,3,3,1,1,23.53%,10.00%,14.29%,10.00%,14.29%,11.33
Austria,Northern Ireland,M,0,6,2,1,3:00,W,timed out,3,2,15,13,1,2,2,1,2,0,17.86%,15.38%,0.00%,7.69%,13.33%,9.33
Chile,Czechia,Mix,3,3,2,9,1:30,L,timed out,0,2,8,10,0,1,3,0,1,3,11.11%,10.00%,37.50%,0.00%,12.50%,12
Australia,Czechia,M,0,6,2,6,3:00,W,timed out,3,3,12,16,1,2,6,6,0,1,21.43%,0.00%,8.33%,6.25%,16.67%,9.33
Northern Ireland,United States,Mix,3,3,1,4,1:30,L,eliminated,2,6,7,10,0,0,6,2,1,1,47.06%,10.00%,14.29%,0.00%,0.00%,11.33
Canada,England,M,0,6,2,5,3:00,L,timed out,1,4,13,11,3,3,5,3,1,2,20.83%,9.09%,15.38%,27.27%,23.08%,8
Italy,United States,F,6,0,1,8,1:30,W,timed out,4,1,9,7,0,0,1,4,4,1,31.25%,57.14%,11.11%,0.00%,0.00%,10.67
Australia,Canada,M,0,6,2,7,3:00,L,timed out,4,3,13,11,1,4,3,0,0,0,29.17%,0.00%,0.00%,9.09%,30.77%,8
Czechia,Spain,F,6,0,1,7,1:30,T,timed out,1,3,11,10,0,1,4,1,1,1,19.05%,10.00%,9.09%,0.00%,9.09%,14
Czechia,Denmark,M,0,6,2,5,3:00,L,timed out,3,3,15,16,2,4,6,0,0,2,19.35%,0.00%,13.33%,12.50%,26.67%,10.33
Czechia,France,F,6,0,2,1,1:33,W,eliminated,4,0,11,8,2,0,0,6,2,2,21.05%,25.00%,18.18%,25.00%,0.00%,12.26
Hungary,Ireland,M,0,6,2,2,3:00,L,timed out,3,0,12,16,1,4,0,6,2,1,10.71%,12.50%,8.33%,6.25%,33.33%,9.33
Spain,Sweden,M,0,6,1,1,1:36,W,eliminated,6,5,8,14,0,0,5,6,0,1,50.00%,0.00%,12.50%,0.00%,0.00%,13.75
Switzerland,Portugal,M,0,6,2,2,3:00,W,timed out,4,2,15,8,0,2,6,6,2,1,26.09%,25.00%,6.67%,0.00%,13.33%,7.67
Italy,Wales,F,6,0,1,2,1:37,L,eliminated,0,5,7,7,0,1,6,0,0,3,35.71%,0.00%,42.86%,0.00%,14.29%,8.66
Czechia,United States,M,0,6,2,3,3:00,W,timed out,5,3,9,16,1,1,5,3,1,2,32.00%,6.25%,22.22%,6.25%,11.11%,8.33
Canada,Germany,Mix,3,3,2,1,1:39,W,eliminated,6,1,11,8,0,0,1,6,0,0,36.84%,0.00%,0.00%,0.00%,0.00%,11.52
Belgium,France,M,0,6,2,7,3:00,W,timed out,3,5,13,15,4,3,0,1,1,0,28.57%,6.67%,0.00%,26.67%,23.08%,9.33
England,Ireland,Mix,3,3,2,5,1:39,W,eliminated,6,3,11,10,0,0,3,6,1,1,42.86%,10.00%,9.09%,0.00%,0.00%,12.73
France,Puerto Rico,M,0,6,2,1,3:00,W,timed out,0,0,8,11,0,0,6,2,0,1,0.00%,0.00%,12.50%,0.00%,0.00%,6.33
Wales,Italy,M,0,6,1,4,1:40,W,eliminated,6,1,14,12,0,0,2,6,1,0,26.92%,8.33%,0.00%,0.00%,0.00%,15.6
Italy,Switzerland,M,0,6,2,2,3:00,W,timed out,1,6,15,14,1,0,0,5,3,2,24.14%,21.43%,13.33%,7.14%,0.00%,9.67
Italy,Wales,F,6,0,2,6,1:41,W,eliminated,5,2,10,9,0,0,2,6,3,0,36.84%,33.33%,0.00%,0.00%,0.00%,11.29
Spain,Sweden,M,0,6,2,2,3:00,W,timed out,0,3,13,9,1,1,1,4,3,1,13.64%,33.33%,7.69%,11.11%,7.69%,7.33
France,Spain,Mix,3,3,2,3,1:41,L,eliminated,3,5,8,10,0,1,6,3,1,1,44.44%,10.00%,12.50%,0.00%,12.50%,10.69
Argentina,Portugal,M,0,6,2,1,3:00,L,timed out,6,0,15,16,0,0,5,4,0,0,19.35%,0.00%,0.00%,0.00%,0.00%,10.33
Italy,United States,F,6,0,2,4,1:43,L,eliminated,0,5,14,17,0,1,6,0,0,2,16.13%,0.00%,14.29%,0.00%,7.14%,18.06
Austria,Germany,M,0,6,2,7,3:00,L,timed out,1,6,14,8,1,3,0,3,2,3,31.82%,25.00%,21.43%,12.50%,21.43%,7.33
Canada,Wales,M,0,6,1,1,1:43,W,eliminated,6,3,9,13,0,0,3,6,0,0,40.91%,0.00%,0.00%,0.00%,0.00%,12.82
France,Ireland,M,0,6,2,7,3:00,L,timed out,1,2,11,8,4,4,0,5,2,0,15.79%,25.00%,0.00%,50.00%,36.36%,6.33
Belgium,Netherlands,Mix,3,3,2,4,1:43,W,eliminated,5,3,15,9,1,0,3,6,2,2,33.33%,22.22%,13.33%,11.11%,0.00%,13.98
Canada,Wales,M,0,6,2,5,3:00,W,timed out,4,0,10,9,4,0,5,6,1,3,21.05%,11.11%,30.00%,44.44%,0.00%,6.33
Australia,Belgium,Mix,3,3,2,2,1:44,L,eliminated,1,6,9,15,0,0,6,1,1,2,29.17%,6.67%,22.22%,0.00%,0.00%,13.85
Denmark,United States,M,0,6,2,2,3:00,W,timed out,3,5,16,13,2,1,5,5,2,1,27.59%,15.38%,6.25%,15.38%,6.25%,9.67
France,Puerto Rico,M,0,6,1,4,1:45,W,eliminated,5,4,10,10,1,0,5,6,2,0,45.00%,20.00%,0.00%,10.00%,0.00%,11.43
Egypt,Scotland,M,0,6,2,7,3:00,L,timed out,2,6,9,8,3,4,4,0,0,1,47.06%,0.00%,11.11%,37.50%,44.44%,5.67
Spain,United States,Mix,3,3,1,5,1:45,L,eliminated,1,5,5,9,0,1,6,1,0,2,42.86%,0.00%,40.00%,0.00%,20.00%,8
Germany,Netherlands,M,0,6,2,7,3:00,L,timed out,1,2,12,10,3,4,5,2,0,2,13.64%,0.00%,16.67%,30.00%,33.33%,7.33
Netherlands,Wales,M,0,6,1,4,1:46,L,eliminated,2,6,9,10,0,0,6,2,3,2,42.11%,30.00%,22.22%,0.00%,0.00%,10.75
Argentina,Switzerland,M,0,6,2,2,3:00,W,timed out,5,4,10,12,2,4,1,5,2,1,40.91%,16.67%,10.00%,16.67%,40.00%,7.33
Australia,Spain,F,6,0,1,1,1:46,L,eliminated,1,5,9,12,2,1,6,3,3,1,28.57%,25.00%,11.11%,16.67%,11.11%,11.89
Scotland,Sweden,Mix,3,3,1,5,1:47,L,eliminated,3,2,12,16,1,1,6,4,0,1,17.86%,0.00%,8.33%,6.25%,8.33%,15.7
Netherlands,Wales,M,0,6,2,2,3:00,W,timed out,1,4,15,11,1,1,3,7,2,3,19.23%,18.18%,20.00%,9.09%,6.67%,8.67
France,Puerto Rico,M,0,6,1,4,3:00,T,timed out,3,3,12,14,0,0,3,3,1,0,23.08%,7.14%,0.00%,0.00%,0.00%,8.67
Czechia,United States,M,0,6,1,7,1:48,L,eliminated,4,6,13,16,0,0,6,4,0,0,34.48%,0.00%,0.00%,0.00%,0.00%,16.11
Egypt,Scotland,M,0,6,1,6,1:48,L,eliminated,4,6,9,12,1,0,6,5,1,1,47.62%,8.33%,11.11%,8.33%,0.00%,11.67
Croatia,Czechia,Mix,3,3,1,3,1:48,W,eliminated,4,1,10,8,2,0,1,6,0,1,27.78%,0.00%,10.00%,25.00%,0.00%,10
Spain,Sweden,M,0,6,1,2,1:49,L,eliminated,4,6,8,15,0,0,6,4,1,2,43.48%,6.67%,25.00%,0.00%,0.00%,12.66
Sweden,Switzerland,Mix,3,3,2,4,1:49,W,eliminated,5,1,11,7,1,0,1,6,3,0,33.33%,42.86%,0.00%,14.29%,0.00%,9.91
Hungary,Wales,F,6,0,2,1,1:52,L,eliminated,5,5,16,11,0,1,6,5,2,4,37.04%,18.18%,25.00%,0.00%,6.25%,14.46
England,United States,M,0,6,1,5,3:00,T,timed out,5,4,14,14,0,1,4,4,2,0,32.14%,14.29%,0.00%,0.00%,7.14%,9.33
Austria,Northern Ireland,M,0,6,1,2,3:00,W,timed out,5,1,16,13,1,0,2,6,0,0,20.69%,0.00%,0.00%,7.69%,0.00%,9.67
Scotland,Sweden,Mix,3,3,1,3,1:53,L,eliminated,1,2,11,14,0,0,6,1,0,1,12.00%,0.00%,9.09%,0.00%,0.00%,13.27
Australia,Czechia,M,0,6,1,2,3:00,W,eliminated,5,2,13,8,0,0,2,5,1,1,33.33%,12.50%,7.69%,0.00%,0.00%,7
Australia,Czechia,M,0,6,1,6,3:00,T,timed out,4,5,10,14,1,0,5,5,0,0,37.50%,0.00%,0.00%,7.14%,0.00%,8
France,Spain,Mix,3,3,1,5,1:53,L,eliminated,2,5,9,16,1,2,6,3,1,3,28.00%,6.25%,33.33%,6.25%,22.22%,13.27
Belgium,Italy,F,6,0,1,7,1:53,L,eliminated,3,5,9,17,0,1,6,3,0,1,30.77%,0.00%,11.11%,0.00%,11.11%,13.81
Australia,Canada,M,0,6,1,5,3:00,L,timed out,3,5,11,15,0,0,1,3,1,0,30.77%,6.67%,0.00%,0.00%,0.00%,8.67
Australia,Canada,M,0,6,1,1,3:00,W,timed out,5,2,11,11,0,0,2,5,1,0,31.82%,9.09%,0.00%,0.00%,0.00%,7.33
Spain,United States,Mix,3,3,1,4,1:55,L,eliminated,2,4,10,10,1,2,6,3,1,1,30.00%,10.00%,10.00%,10.00%,20.00%,10.43
England,Ireland,Mix,3,3,1,4,1:55,W,eliminated,2,3,17,13,2,0,3,6,1,1,16.67%,7.69%,5.88%,15.38%,0.00%,15.65
France,Ireland,M,0,6,1,5,1:56,W,eliminated,5,4,8,8,1,0,4,6,3,1,56.25%,37.50%,12.50%,12.50%,0.00%,8.28
Hungary,Ireland,M,0,6,1,3,3:00,L,timed out,2,5,9,15,0,0,5,2,3,3,29.17%,20.00%,33.33%,0.00%,0.00%,8
Switzerland,Portugal,M,0,6,1,1,3:00,W,timed out,5,3,15,10,0,1,4,5,0,1,32.00%,0.00%,6.67%,0.00%,6.67%,8.33
Australia,Sweden,F,6,0,2,4,1:57,L,eliminated,4,4,12,10,0,2,6,4,0,3,36.36%,0.00%,25.00%,0.00%,16.67%,11.28
Denmark,United States,M,0,6,1,4,1:57,L,eliminated,3,6,11,8,1,0,6,4,1,0,47.37%,12.50%,0.00%,12.50%,0.00%,9.74
Switzerland,Portugal,M,0,6,1,4,1:58,W,eliminated,6,4,11,6,0,1,5,6,1,0,58.82%,16.67%,0.00%,0.00%,9.09%,8.64
Sweden,Switzerland,Mix,3,3,1,2,1:58,W,eliminated,5,3,19,12,0,2,5,6,3,3,25.81%,25.00%,15.79%,0.00%,10.53%,15.76
Belgium,France,M,0,6,1,3,3:00,L,timed out,4,5,20,16,0,0,5,4,0,2,25.00%,0.00%,10.00%,0.00%,0.00%,12
Austria,Scotland,F,6,0,1,3,1:58,L,eliminated,5,4,9,15,0,2,6,4,1,1,37.50%,6.67%,11.11%,0.00%,22.22%,12.2
Germany,Northern Ireland,F,6,0,1,4,1:58,L,eliminated,1,6,9,13,0,1,6,1,0,0,31.82%,0.00%,0.00%,0.00%,11.11%,11.19
Czechia,France,F,6,0,2,2,1:59,L,eliminated,3,5,9,12,0,1,6,3,1,0,38.10%,8.33%,0.00%,0.00%,11.11%,10.59
Italy,Switzerland,M,0,6,1,5,3:00,L,timed out,3,5,17,9,0,0,5,3,0,1,30.77%,0.00%,5.88%,0.00%,0.00%,8.67
Northern Ireland,United States,Mix,3,3,2,5,1:59,W,eliminated,5,2,10,7,1,0,2,6,0,1,41.18%,0.00%,10.00%,14.29%,0.00%,8.57
Australia,Mexico,Mix,3,3,2,3,1:59,L,eliminated,2,4,15,11,0,1,6,2,2,3,23.08%,18.18%,20.00%,0.00%,6.67%,13.11
England,Netherlands,F,6,0,1,2,2:01,W,eliminated,6,1,11,13,0,0,1,6,1,0,29.17%,7.69%,0.00%,0.00%,0.00%,11.9
Argentina,Portugal,M,0,6,1,6,3:00,T,timed out,4,4,16,14,1,0,4,5,2,0,26.67%,14.29%,0.00%,7.14%,0.00%,10
Italy,United States,F,6,0,2,3,2:02,L,eliminated,3,5,11,18,0,1,6,3,5,1,27.59%,27.78%,9.09%,0.00%,9.09%,14.26
Germany,Serbia,Mix,3,3,2,2,2:02,W,eliminated,6,2,12,11,0,0,2,6,5,2,34.78%,45.45%,16.67%,0.00%,0.00%,11.31
France,Ireland,M,0,6,1,2,3:00,L,timed out,2,4,17,10,1,0,4,3,1,2,22.22%,10.00%,11.76%,10.00%,0.00%,9
Hungary,Ireland,M,0,6,2,3,2:03,W,eliminated,4,1,11,17,2,3,1,5,3,2,17.86%,17.65%,18.18%,11.76%,27.27%,13.66
Puerto Rico,United States,Mix,3,3,2,6,2:04,L,eliminated,1,3,11,11,0,2,6,1,1,1,18.18%,9.09%,9.09%,0.00%,18.18%,10.65
England,Northern Ireland,M,0,6,1,2,2:05,W,eliminated,5,3,14,6,0,0,3,6,0,0,40.00%,0.00%,0.00%,0.00%,0.00%,9.6
Australia,Sweden,Mix,3,3,2,3,2:05,W,eliminated,6,2,14,14,1,0,2,7,1,3,28.57%,7.14%,21.43%,7.14%,0.00%,13.44
Austria,Croatia,Mix,3,3,1,2,2:05,W,eliminated,5,1,13,9,1,0,1,6,2,3,27.27%,22.22%,23.08%,11.11%,0.00%,10.56
Egypt,Scotland,M,0,6,1,3,3:00,T,timed out,5,4,14,16,0,2,6,5,2,1,30.00%,12.50%,7.14%,0.00%,14.29%,10
Hungary,Ukraine,F,6,0,1,3,2:05,W,eliminated,6,1,16,13,0,1,2,6,4,5,24.14%,30.77%,31.25%,0.00%,6.25%,13.92
Czechia,Wales,Mix,3,3,1,2,2:06,W,eliminated,6,0,17,6,0,0,0,6,1,1,26.09%,16.67%,5.88%,0.00%,0.00%,10.95
Germany,Northern Ireland,F,6,0,2,3,2:07,L,eliminated,0,4,10,12,0,2,6,0,0,2,18.18%,0.00%,20.00%,0.00%,20.00%,10.39
Hungary,Mexico,F,6,0,2,3,2:07,W,eliminated,4,1,13,11,2,0,1,6,1,0,20.83%,9.09%,0.00%,18.18%,0.00%,11.34
Argentina,Switzerland,M,0,6,1,5,3:00,L,timed out,3,5,13,13,0,0,5,3,1,0,30.77%,7.69%,0.00%,0.00%,0.00%,8.67
Canada,England,M,0,6,1,2,2:07,W,eliminated,5,2,10,7,1,0,2,6,2,2,41.18%,28.57%,20.00%,14.29%,0.00%,8.03
Belgium,Wales,F,6,0,2,1,2:08,L,eliminated,2,6,14,16,0,0,6,2,3,3,26.67%,18.75%,21.43%,0.00%,0.00%,14.06
Czechia,United States,M,0,6,1,5,2:08,L,eliminated,1,5,10,10,0,1,6,1,1,2,30.00%,10.00%,20.00%,0.00%,10.00%,9.38
Austria,United States,Mix,3,3,2,6,3:00,W,timed out,4,3,14,13,1,0,4,5,3,2,25.93%,23.08%,14.29%,7.69%,0.00%,9
Wales,Italy,M,0,6,1,1,2:09,L,eliminated,3,6,12,9,0,0,6,3,0,1,42.86%,0.00%,8.33%,0.00%,0.00%,9.77
Austria,Scotland,F,6,0,1,1,2:09,L,eliminated,1,6,8,13,0,0,6,1,1,2,33.33%,7.69%,25.00%,0.00%,0.00%,9.77
England,Northern Ireland,Mix,3,3,2,3,3:00,L,timed out,0,3,13,14,2,2,5,3,1,3,11.11%,7.14%,23.08%,14.29%,15.38%,9
